,Address,Bath,Bed,Price,Property Type,sf
380,117-4595 Sumas Mountain Road,4,5,"$1,069,000",R2278820,3471
381,Lot 3-2960 Bergman Street,0,0,"$590,000",R2274969,0
382,83-32633 Simon Avenue,3,3,"$554,900",R2279232,1285
383,71-32777 Chilcotin Drive,3,3,"$575,700",R2279213,2628
384,101-3170 Gladwin Road,2,2,"$474,500",R2279015,1159
385,3438 Blue Jay Street,4,5,"$1,049,700",R2278496,3867
386,2305 Southdale Crescent,4,6,"$735,000",R2279064,2190
387,35238 Briarwood Place,4,3,"$1,499,900",R2278846,4082
388,2288 Mouldstade Road,1,2,"$749,900",R2278980,748
389,4361 Atwood Crescent,4,3,"$699,900",R2278775,2276
390,3523 Mierau Court,3,4,"$669,900",R2278901,1800
391,19-35298 Marshall Road,4,3,"$745,000",R2278600,2905
392,34869 High Drive,2,5,"$799,900",R2278168,2492
393,204-2581 Langdon Street,1,1,"$329,900",R2274362,810
394,118-2962 Trethewey Street,2,2,"$303,500",R2273166,985
395,2664 Platinum Lane,4,5,"$1,549,000",R2270325,5074
396,211-33545 Rainbow Avenue,2,2,"$379,900",R2278543,933
397,209-33545 Rainbow Avenue,2,2,"$379,900",R2278526,933
398,33516 Kinsale Place,3,4,"$698,900",R2278161,2065
399,2087 Emerson Street,3,5,"$734,800",House,2800
400,34049 Higginson Crescent,6,7,"$1,199,000",R2278220,3925
401,126-32691 Garibaldi Drive,2,1,"$304,900",R2278356,1166
402,2390 Orchard Drive,3,4,"$879,000",R2278134,2761
403,111-33535 King Road,2,2,"$274,900",R2278122,1087
404,224-2233 Mckenzie Road,2,2,"$356,388",R2278169,885
405,31476 Jean Court,4,4,"$899,500",R2277988,3399
406,2388 Alder Street,6,7,"$1,299,000",R2277985,4000
407,8-3800 Golf Course Drive,3,5,"$929,900",R2277699,4162
408, LW1-2485 Montrose Avenue,2,1,"$539,900",R2278092,1057
409,210-2853 W Bourquin Crescent,1,2,"$289,000",R2277927,908
410,4393 N Auguston Parkway,3,3,"$1,049,000",R2277910,3835
411,31-2050 Gladwin Road,3,3,"$439,000",R2277493,1806
412,35324 Raven Court,0,0,"$849,000",R2277781,0
413,35330 Raven Court,0,0,"$1,350,000",R2277784,0
414,35336 Raven Court,0,0,"$1,250,000",R2277783,0
415,35342 Raven Court,0,0,"$849,000",R2277782,0
416,2698 Townline Road,3,5,"$729,000",R2277839,2032
417,35495 Verado Court,0,0,"$950,000",R2277779,0
418,27916 Conductor Drive,5,6,"$1,089,000",R2277834,2978
419,35478 Verado Court,0,0,"$1,100,000",R2277780,0
420,12-2048 Mccallum Road,2,2,"$335,000",Townhouse,990
421,35483 Verado Court,0,0,"$950,000",R2277778,0
422,3171 Engineer Crescent,7,7,"$1,200,000",R2277822,4053
423,57-3030 Trethewey Street,2,3,"$454,000",R2277713,1128
424,424-2565 Campbell Avenue,1,1,"$349,000",R2277857,808
425,36198 Lower Sumas Mountain Road,4,7,"$1,078,888",R2277735,4286
426,35324 Selkirk Avenue,2,4,"$644,900",R2277724,1772
427,27636 Roundhouse Drive,7,8,"$1,288,888",R2277486,4181
428,48-3030 Trethewey Street,2,3,"$449,900",R2276759,1185
429,105-2958 Trethewey Street,2,2,"$334,900",R2277037,921
430,3501 Hill Park Place,6,8,"$1,199,000",R2277025,3887
431,3139 Coronation Court,3,6,"$849,900",R2276729,2138
432,115-32175 Old Yale Road,1,1,"$234,700",R2276614,520
433,36108 Spyglass Lane,4,5,"$949,500",R2277690,3682
434,2605 Parkview Street,2,4,"$869,900",R2277644,2050
435,32264 Atwater Crescent,3,4,"$749,000",R2277491,2056
436,2482 Grosvenor Place,3,3,"$859,900",R2277579,2585
437,2904 Royal Street,3,4,"$768,000",R2277492,2432
438,410-31831 Peardonville Road,2,2,"$335,000",R2277510,1023
439,205-33318 E Bourquin Crescent,2,2,"$384,500",R2277311,909
440,32533 George Ferguson Way,2,4,"$729,900",R2277281,1680
441,211-31955 Old Yale Road,1,2,"$240,000",Apt/Condo,1092
442,22-33860 Marshall Road,4,3,"$548,800",R2277006,1658
443,2379 Anora Drive,3,5,"$898,000",R2277142,2620
444,120-2233 Mckenzie Road,1,1,"$304,900",R2275481,667
445,303-33538 Marshall Road,1,1,"$310,000",R2276994,673
446,2448 Sunrise Park Drive,3,5,"$799,900",R2275343,3296
447,1405-3170 Gladwin Road,2,2,"$448,800",R2275582,1191
448,34869 Ackerman Court,0,0,"$549,000",R2277035,0
449,34874 Ackerman Court,0,0,"$499,000",R2277080,0
450,34875 Ackerman Court,0,0,"$549,000",R2277066,0
451,34863 Ackerman Court,0,0,"$549,000",R2277051,0
452,34868 Ackerman Court,0,0,"$459,000",R2277021,0
453,34862 Ackerman Court,0,0,"$499,000",R2276480,0
454,2732 Sandon Drive,2,3,"$538,800",R2276967,1509
